epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,15985.3,0.58001,0.32434,0.79375,0.95463,0.85029,0.91386,0.76205,0.70376,0.32721,0.79813,4.01896e-05,4.01896e-05,4.01896e-05
138,16101.7,0.5803,0.32544,0.79416,0.95405,0.84827,0.91114,0.76669,0.67445,0.32072,0.79684,4.00807e-05,4.00807e-05,4.00807e-05
139,16218,0.57647,0.32336,0.79389,0.95881,0.84798,0.91383,0.76665,0.69601,0.32563,0.79732,3.99718e-05,3.99718e-05,3.99718e-05
140,16334.4,0.57822,0.32487,0.79375,0.95993,0.849,0.91366,0.76376,0.69812,0.32566,0.79765,3.98629e-05,3.98629e-05,3.98629e-05
141,16451.2,0.58609,0.32769,0.79292,0.95609,0.84895,0.91381,0.7592,0.71833,0.33117,0.79805,3.9754e-05,3.9754e-05,3.9754e-05
142,16567.4,0.57415,0.32266,0.79303,0.95543,0.84946,0.91336,0.76071,0.71234,0.3292,0.79787,3.96451e-05,3.96451e-05,3.96451e-05
143,16683.9,0.57677,0.32335,0.79309,0.95579,0.85175,0.91383,0.76505,0.6972,0.32518,0.79754,3.95362e-05,3.95362e-05,3.95362e-05
144,16800.5,0.57751,0.32384,0.7933,0.96209,0.84929,0.91727,0.76431,0.70592,0.3274,0.79766,3.94273e-05,3.94273e-05,3.94273e-05
145,16916.9,0.57347,0.32236,0.7935,0.95962,0.84923,0.91431,0.76084,0.71982,0.33038,0.79838,3.93184e-05,3.93184e-05,3.93184e-05
146,17033.4,0.57261,0.32099,0.79237,0.95199,0.85259,0.91549,0.77027,0.67765,0.31971,0.79627,3.92095e-05,3.92095e-05,3.92095e-05
147,17150,0.57215,0.321,0.79235,0.95715,0.85388,0.91622,0.77014,0.67704,0.31878,0.79598,3.91006e-05,3.91006e-05,3.91006e-05
148,17266.6,0.57384,0.32163,0.79235,0.96282,0.84791,0.91637,0.76765,0.69695,0.32447,0.79683,3.89917e-05,3.89917e-05,3.89917e-05
149,17383.2,0.5735,0.32198,0.7921,0.95002,0.85376,0.91503,0.76642,0.69317,0.32294,0.79687,3.88828e-05,3.88828e-05,3.88828e-05
150,17499.6,0.56833,0.31852,0.79287,0.95617,0.84956,0.91444,0.75909,0.72058,0.32957,0.79769,3.87739e-05,3.87739e-05,3.87739e-05
151,17616.1,0.56574,0.3175,0.79203,0.95176,0.85475,0.9161,0.77203,0.67204,0.31712,0.79587,3.8665e-05,3.8665e-05,3.8665e-05
152,17732.7,0.56875,0.31971,0.79217,0.9596,0.85006,0.91559,0.76751,0.68587,0.32031,0.79674,3.85561e-05,3.85561e-05,3.85561e-05
153,17849.1,0.56712,0.31772,0.7918,0.95644,0.85302,0.91491,0.76799,0.68694,0.32103,0.79658,3.84472e-05,3.84472e-05,3.84472e-05
154,17965.9,0.56886,0.31854,0.79127,0.9556,0.85439,0.91567,0.76659,0.69222,0.32182,0.7968,3.83383e-05,3.83383e-05,3.83383e-05
155,18082.5,0.56641,0.31663,0.79117,0.95903,0.8535,0.91671,0.76951,0.68205,0.31846,0.79594,3.82294e-05,3.82294e-05,3.82294e-05
156,18199.2,0.56444,0.31625,0.79129,0.9588,0.85199,0.91469,0.77024,0.67738,0.31771,0.79569,3.81205e-05,3.81205e-05,3.81205e-05
157,18315.8,0.56853,0.31939,0.79199,0.95535,0.8517,0.91445,0.76891,0.6895,0.32121,0.79627,3.80116e-05,3.80116e-05,3.80116e-05
158,18432.2,0.56124,0.31528,0.79167,0.95797,0.85233,0.91426,0.76976,0.68632,0.31989,0.79616,3.79027e-05,3.79027e-05,3.79027e-05
159,18548.8,0.55992,0.31418,0.79121,0.95357,0.8536,0.91561,0.77316,0.67578,0.31718,0.79585,3.77938e-05,3.77938e-05,3.77938e-05
160,18665.1,0.55947,0.31568,0.79261,0.95799,0.85356,0.91684,0.77367,0.67259,0.31614,0.79535,3.76849e-05,3.76849e-05,3.76849e-05
161,18781.4,0.55732,0.31428,0.79217,0.96361,0.85141,0.91682,0.77168,0.67623,0.31713,0.79575,3.7576e-05,3.7576e-05,3.7576e-05
162,18897.8,0.55783,0.31265,0.79091,0.95713,0.85382,0.9168,0.769,0.68993,0.3193,0.79626,3.74671e-05,3.74671e-05,3.74671e-05
163,19014.4,0.56048,0.31422,0.79146,0.95871,0.85595,0.91696,0.77338,0.67099,0.31518,0.79517,3.73582e-05,3.73582e-05,3.73582e-05
164,19131,0.55748,0.31359,0.79094,0.95803,0.85363,0.91634,0.77184,0.67621,0.31606,0.79549,3.72493e-05,3.72493e-05,3.72493e-05
